Title,Artist,Link
 Untitled (1986),Sylvia Cameron,https://collections.ed.ac.uk/art/record/21716?highlight=*:*
 Standing Male Nude (1950),Cecile E M Johnston,https://collections.ed.ac.uk/art/record/21026?highlight=*:*
 Bloomers ,Unknown,https://collections.ed.ac.uk/art/record/102663?highlight=*:*
 Woman in a Blue Background ,Ian Paterson,https://collections.ed.ac.uk/art/record/22696?highlight=*:*
 Standing Man with Scythe ,John Houston,https://collections.ed.ac.uk/art/record/20770?highlight=*:*
 Untitled ,,https://collections.ed.ac.uk/art/record/112505?highlight=*:*
 Vilnius Academy of Fine Arts ,Unknown,https://collections.ed.ac.uk/art/record/99853?highlight=*:*
 Riders from West Frieze of the Parthenon (1836-1837),,https://collections.ed.ac.uk/art/record/20666?highlight=*:*
 Portrait of a Woman at a Table (1960),Dorothea Brown,https://collections.ed.ac.uk/art/record/20995?highlight=*:*
 Portrait of a Man (1959),John O'Neill,https://collections.ed.ac.uk/art/record/21154?highlight=*:*
 Espresso Saucer ,Emma Gillies,https://collections.ed.ac.uk/art/record/53688?highlight=*:*
 Fish in a Whirlpool (1953),Hans Jelinek,https://collections.ed.ac.uk/art/record/21653?highlight=*:*
 Landscape (Circa 1988),Arlene Isbister,https://collections.ed.ac.uk/art/record/22604?highlight=*:*
 Saucer ,Emma Gillies,https://collections.ed.ac.uk/art/record/53631?highlight=*:*
 Back of Woman wearing Long Dress with Bustle (1955-1956),Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/20822?highlight=*:*
 Landscape ,Edith C. Duke,https://collections.ed.ac.uk/art/record/122871?highlight=*:*
 Reclining Nude (1953),Laura Nye,https://collections.ed.ac.uk/art/record/21118?highlight=*:*
 Entry into Jerusalem (1956),Peter McGinn,https://collections.ed.ac.uk/art/record/122719?highlight=*:*
 Standing Female Nude (1954),Margaret Proudfoot,https://collections.ed.ac.uk/art/record/21246?highlight=*:*
 Unknown ,Alexander S Campbell,https://collections.ed.ac.uk/art/record/50632?highlight=*:*
 Untitled - Sprite in Long Gown (1963),Iona Murray,https://collections.ed.ac.uk/art/record/99402?highlight=*:*
 Portrait of a Man (1953),Andrew Restall,https://collections.ed.ac.uk/art/record/20945?highlight=*:*
 Seated Female Nude (1957),Isobel Howieson,https://collections.ed.ac.uk/art/record/20962?highlight=*:*
 Mining Town at Night ,Geoffrey J Roper,https://collections.ed.ac.uk/art/record/122765?highlight=*:*
 Four way / Exchange Portfolio (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99854?highlight=*:*
 Venice (1951),Sax Shaw,https://collections.ed.ac.uk/art/record/99849?highlight=*:*
 Portrait of a Man (1970),Karol Prentice,https://collections.ed.ac.uk/art/record/122735?highlight=*:*
 Mountainous Landscape (Circa 1974),Peter Wheeler,https://collections.ed.ac.uk/art/record/122813?highlight=*:*
 My Friend Jackie ,Claudia Petretti,https://collections.ed.ac.uk/art/record/122738?highlight=*:*
 Seated Male Nude (15 FEB 1950),John Parnell,https://collections.ed.ac.uk/art/record/21066?highlight=*:*
 Opuntia Basilaris Engelmann and Bigelow 1957 (1993-1994),Jane Watt,https://collections.ed.ac.uk/art/record/99459?highlight=*:*
 Unknown ,Unknown,https://collections.ed.ac.uk/art/record/53541?highlight=*:*
 The Canteen (1947),Marjorie B. Wallace,https://collections.ed.ac.uk/art/record/122778?highlight=*:*
 Untitled ,Jane Strachen,https://collections.ed.ac.uk/art/record/20758?highlight=*:*
 Bearded Goat ,Emma Gillies,https://collections.ed.ac.uk/art/record/53755?highlight=*:*
 North Berwick from Belhaven Bay (Unknown),Catherine Orbach,https://collections.ed.ac.uk/art/record/21792?highlight=*:*
 Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21904?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21988?highlight=*:*
 Portrait of a Man (1951),James Wilson,https://collections.ed.ac.uk/art/record/21226?highlight=*:*
 Untitled (Unknown),Donald Clark,https://collections.ed.ac.uk/art/record/21636?highlight=*:*
 Bowl (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122130?highlight=*:*
 Untitled ,Anne Waterhouse,https://collections.ed.ac.uk/art/record/112342?highlight=*:*
 Unknown (1949),Betty Elston,https://collections.ed.ac.uk/art/record/50583?highlight=*:*
 Still Life with Goblet (Circa 1958),Alan M. Alexander,https://collections.ed.ac.uk/art/record/122896?highlight=*:*
 South Frieze of the Parthenon Frieze (1836-1837),,https://collections.ed.ac.uk/art/record/20694?highlight=*:*
 Standing Woman (1965),William Gillon,https://collections.ed.ac.uk/art/record/21315?highlight=*:*
 Standing Male Nude (Dec 1951),M McKeown,https://collections.ed.ac.uk/art/record/21225?highlight=*:*
 Unknown (1960),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50595?highlight=*:*
 Face Value (2007),Annette Kierulf,https://collections.ed.ac.uk/art/record/99902?highlight=*:*
 Plate ,Emma Gillies,https://collections.ed.ac.uk/art/record/53719?highlight=*:*
 Unknown ,Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/50638?highlight=*:*
 Untitled - Street Scene (1960),Frederick C White,https://collections.ed.ac.uk/art/record/99453?highlight=*:*
 Leopard ,Emma Gillies,https://collections.ed.ac.uk/art/record/122123?highlight=*:*
 Portrait of a Man (1959),Alan Kemp,https://collections.ed.ac.uk/art/record/20902?highlight=*:*
 Graveyard and Church Ruins ,Alistair Hartleby (?),https://collections.ed.ac.uk/art/record/21498?highlight=*:*
 Portrait of a Man in a Suit (1959),Albert Robson,https://collections.ed.ac.uk/art/record/20784?highlight=*:*
 Poirtrait of a Man ,A Sinclair,https://collections.ed.ac.uk/art/record/21440?highlight=*:*
 Male Model (Circa 1966),James H. Fairgrieve,https://collections.ed.ac.uk/art/record/122912?highlight=*:*
 Seated Male Nude in High-back Chair (1969),James Campbell,https://collections.ed.ac.uk/art/record/21270?highlight=*:*
 Hyde Park ,Unknown,https://collections.ed.ac.uk/art/record/50476?highlight=*:*
 Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50525?highlight=*:*
 Reclining Nude Woman (Circa 1965),Euphemia (Fay) S. Wright,https://collections.ed.ac.uk/art/record/122812?highlight=*:*
 Untitled (2007),Vikki Hill,https://collections.ed.ac.uk/art/record/99966?highlight=*:*
 Seated Nude Woman (1951),James P W Syme,https://collections.ed.ac.uk/art/record/22513?highlight=*:*
 Shell-Shapes (1989),Dorothy Black,https://collections.ed.ac.uk/art/record/21973?highlight=*:*
 Unknown (1969),Brent D. Millar,https://collections.ed.ac.uk/art/record/50378?highlight=*:*
 Portrait of a Woman (1939-1940),James H Donaldson,https://collections.ed.ac.uk/art/record/21123?highlight=*:*
 Untitled (1962),Deborah Eadie,https://collections.ed.ac.uk/art/record/112447?highlight=*:*
 Unknown (18 May 1948),Edward A. Gage,https://collections.ed.ac.uk/art/record/50630?highlight=*:*
 Unknown (24 Jan 1947),Eric Forrest,https://collections.ed.ac.uk/art/record/50588?highlight=*:*
 Plate ,Emma Gillies,https://collections.ed.ac.uk/art/record/53704?highlight=*:*
 Teacup ,Emma Gillies,https://collections.ed.ac.uk/art/record/53636?highlight=*:*
 Composition with Table and String of Paper (Circa 1989),Claire E. Banks,https://collections.ed.ac.uk/art/record/122833?highlight=*:*
 Untitled (1984),Unknown,https://collections.ed.ac.uk/art/record/21602?highlight=*:*
 Unknown ,Alistair Fairweather,https://collections.ed.ac.uk/art/record/50426?highlight=*:*
 Untitled - Portrait of a Man (1968),Alistair Bell,https://collections.ed.ac.uk/art/record/99378?highlight=*:*
 Unknown (1947-1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/50444?highlight=*:*
 Unknown (1953),Maurice Chamberlain,https://collections.ed.ac.uk/art/record/50559?highlight=*:*
 Figures and Sunshine (1962),Leon Francesco Morrocco,https://collections.ed.ac.uk/art/record/21400?highlight=*:*
 Three Views of a Standing Male Nude with hand on hip (1948),John Thompson,https://collections.ed.ac.uk/art/record/20845?highlight=*:*
 Seated Man in Traditional Dress (1960s),Barreton,https://collections.ed.ac.uk/art/record/21290?highlight=*:*
 Untitled (2007),Rob Hunter,https://collections.ed.ac.uk/art/record/99893?highlight=*:*
 Untitled (2006),Siri Gossman,https://collections.ed.ac.uk/art/record/99883?highlight=*:*
 Beginning (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21926?highlight=*:*
 Female Nude (1949),Marion M Cooper,https://collections.ed.ac.uk/art/record/122861?highlight=*:*
 Untitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99911?highlight=*:*
 Bathers (Circa 1959),Robert M E Callender,https://collections.ed.ac.uk/art/record/122835?highlight=*:*
 Trafalgar Square (1963),Unknown,https://collections.ed.ac.uk/art/record/21773?highlight=*:*
 Drawing of a Seated Woman (1958),Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/20787?highlight=*:*
 Coupar ,Unknown,https://collections.ed.ac.uk/art/record/50409?highlight=*:*
 Saucer ,Emma Gillies,https://collections.ed.ac.uk/art/record/53628?highlight=*:*
 Archway ,Louise Allardyce,https://collections.ed.ac.uk/art/record/21524?highlight=*:*
 Untitled (1980),Unknown,https://collections.ed.ac.uk/art/record/99824?highlight=*:*
 Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99274?highlight=*:*
 Composition with Hanging Black Jacket and Skirt (1987),Margaret June Redfern,https://collections.ed.ac.uk/art/record/122748?highlight=*:*
 Seated Man on White Chair (1989),Claire E. Banks,https://collections.ed.ac.uk/art/record/22555?highlight=*:*
 Woman (1966),James H. Fairgrieve,https://collections.ed.ac.uk/art/record/22617?highlight=*:*
 Portrait of a Woman (1957),Colin Turner,https://collections.ed.ac.uk/art/record/21144?highlight=*:*
 Untitled - Portrait of a Girl (1963),L. Allan,https://collections.ed.ac.uk/art/record/99383?highlight=*:*
 Riders from the West Frieze of the Parthenon (1836-1837),,https://collections.ed.ac.uk/art/record/20671?highlight=*:*
